Age,AnnualIncome,CreditScore,EmploymentStatus,Experience,LoanAmount,LoanDuration,HomeOwnershipStatus,CreditUtilization,DebtToIncome,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,MonthlyIncome,UtilityPaymentScore,JobTenure,NetWorth,InterestRate,LoanApproved,NewLoanApproved,RiskScore
37,59138,594,Employed,14,13205,72,Own,39%,11%,0,Auto,0,18,9,1187,4928.17,81.31,4,5576,21.14,0,Rejected,51
40,114216,635,Employed,17,9809,60,Rent,22%,63%,0,Home,0,26,2,720,9518,85.18,10,2482,20.11,1,Approved,46
22,63300,503,Employed,0,16476,24,Rent,39%,24%,0,Home,0,29,7,2154,5275,87.07,5,6903,23.17,0,Rejected,53
33,39676,555,Employed,12,47795,60,Other,35%,57%,0,Home,0,19,4,840,3306.33,58.36,4,81172,25.35,0,Rejected,60
41,59192,594,Unemployed,16,45608,36,Mortgage,41%,23%,0,Auto,0,18,1,21084,4932.67,84.44,3,58413,20.07,0,Rejected,58
26,15059,462,Employed,0,20240,24,Other,10%,7%,0,Home,0,16,25,713,1254.92,59.9,12,16754,24.6,0,Rejected,51
44,15305,608,Self-Employed,23,21452,48,Mortgage,11%,6%,0,Home,0,21,29,9547,1275.42,90.77,2,9931,22.54,0,Rejected,51
32,35498,622,Employed,10,11136,36,Own,39%,18%,0,Home,0,18,17,1346,2958.17,70.37,3,2705,16.48,0,Rejected,48
36,60227,576,Employed,14,25264,84,Own,28%,14%,0,Home,0,27,28,5391,5018.92,81.43,5,105395,23.91,1,Approved,37
32,23861,592,Self-Employed,10,19570,36,Other,23%,22%,0,Auto,0,29,27,3348,1988.42,77.35,8,76539,19.7,0,Rejected,55
62,73843,667,Unemployed,37,44668,60,Other,30%,16%,1,Home,0,16,3,17023,6153.58,94.46,5,3068,23.46,0,Rejected,62
39,61099,559,Employed,19,10094,84,Mortgage,13%,27%,0,Auto,0,21,19,2987,5091.58,88.02,4,46283,26.11,0,Rejected,51
27,15000,535,Employed,4,11318,120,Mortgage,58%,45%,0,Home,0,15,18,4172,1250,86.55,1,290269,34.36,0,Rejected,53
49,34738,520,Employed,25,10166,72,Mortgage,57%,31%,0,Home,0,27,4,1767,2894.83,87.98,2,238326,27.39,0,Rejected,55
25,85889,571,Employed,3,24186,72,Rent,33%,5%,0,Education,0,31,10,14921,7157.42,90.57,4,13345,27.96,0,Rejected,49
42,78701,552,Employed,18,18326,60,Rent,19%,7%,0,Home,0,25,19,463,6558.42,70.62,7,140566,21.89,1,Approved,36
18,24914,604,Employed,0,8015,36,Mortgage,38%,64%,0,Auto,0,17,28,2612,2076.17,92.6,7,41853,15.28,1,Approved,46
24,57231,508,Unemployed,0,35876,48,Rent,57%,13%,0,Auto,0,20,21,7737,4769.25,50.9,8,140547,23.05,0,Rejected,50
42,163303,655,Self-Employed,23,12850,72,Other,36%,7%,0,Debt Consolidation,0,19,1,3012,13608.58,91.51,8,97422,18.95,1,Approved,38
48,38453,595,Unemployed,26,30517,48,Own,38%,10%,0,Home,0,22,20,5165,3204.42,79.35,6,42871,22.62,0,Rejected,54
42,99920,582,Self-Employed,20,23363,12,Other,62%,21%,0,Debt Consolidation,0,20,11,991,8326.67,72.98,10,4209,17.54,1,Approved,45
38,57860,591,Employed,20,25576,96,Rent,14%,7%,0,Auto,0,27,1,2059,4821.67,84.13,8,437436,28.77,0,Rejected,47
36,30890,590,Employed,16,10176,24,Own,21%,12%,0,Education,0,23,6,11162,2574.17,80.86,7,14676,17.65,0,Rejected,53
22,15561,500,Employed,1,20169,36,Rent,10%,37%,0,Debt Consolidation,0,25,13,1929,1296.75,59.82,4,11052,24.24,0,Rejected,55
31,105957,530,Employed,7,53987,72,Other,5%,62%,0,Auto,0,31,16,4218,8829.75,52.52,3,95758,32.68,0,Rejected,54
34,82887,545,Employed,13,20996,84,Other,37%,15%,0,Other,0,19,8,16502,6907.25,90.49,2,4958,27.96,0,Rejected,50
52,53555,631,Employed,31,29418,60,Own,26%,15%,0,Education,0,28,20,9902,4462.92,80.03,4,2753,21.77,0,Rejected,47
44,105639,627,Employed,20,20409,108,Rent,28%,33%,0,Home,0,22,21,3379,8803.25,62.32,5,142935,26.37,0,Rejected,46
18,58342,519,Employed,0,10077,24,Mortgage,16%,19%,0,Debt Consolidation,0,20,7,5076,4861.83,94.95,8,9558,26.07,0,Rejected,50
43,121939,653,Employed,25,41215,48,Mortgage,53%,24%,0,Other,0,30,12,1365,10161.58,84.46,8,185710,18.46,1,Approved,33
35,16054,526,Employed,13,20612,36,Own,14%,21%,0,Education,0,25,21,4127,1337.83,61.59,6,39270,23.17,0,Rejected,53
31,36057,592,Employed,11,29501,36,Other,23%,19%,0,Home,0,18,12,2220,3004.75,73.2,4,1500,21.43,0,Rejected,51
47,124086,631,Employed,27,36798,24,Mortgage,22%,34%,0,Auto,0,27,24,3281,10340.5,71.6,6,10479,16.77,1,Approved,39
52,272693,586,Employed,28,19717,84,Rent,37%,27%,0,Auto,0,19,13,801,22724.42,74.45,8,88895,21.81,1,Approved,38
51,48757,615,Employed,27,16173,84,Mortgage,21%,31%,0,Debt Consolidation,0,28,19,21739,4063.08,49.13,2,3120,22.13,0,Rejected,52
29,31683,498,Employed,5,10566,24,Other,44%,9%,0,Debt Consolidation,0,22,12,30896,2640.25,82.91,5,154938,20.95,0,Rejected,48
36,69003,499,Self-Employed,11,5376,96,Mortgage,37%,17%,0,Auto,0,28,11,983,5750.25,77.9,3,13502,24.84,1,Approved,42
43,72408,616,Employed,18,23181,48,Rent,23%,37%,1,Debt Consolidation,0,22,29,3815,6034,82.1,4,5786,25.22,0,Rejected,63
51,105087,653,Employed,33,48331,108,Mortgage,12%,18%,0,Auto,1,22,24,21204,8757.25,57.42,4,142052,27.37,0,Rejected,44
34,15000,607,Employed,11,26412,96,Own,3%,35%,0,Home,0,18,22,2232,1250,82.59,6,223211,27.65,0,Rejected,48
37,38513,600,Self-Employed,16,21225,48,Rent,52%,17%,0,Education,0,22,29,1458,3209.42,87.52,4,16183,23.11,0,Rejected,52
26,77555,527,Employed,5,22854,36,Rent,10%,19%,0,Education,0,19,22,8710,6462.92,88.25,5,29447,19.99,1,Approved,39
25,15000,576,Employed,1,18177,48,Mortgage,27%,24%,0,Home,0,25,3,5689,1250,86.87,3,1077,21.99,0,Rejected,57
49,24973,611,Employed,30,17466,48,Own,28%,41%,0,Auto,0,23,12,3167,2081.08,87.23,9,14823,22.14,0,Rejected,55
56,18248,574,Employed,37,16443,24,Own,28%,6%,0,Home,0,23,20,2682,1520.67,93.39,2,192648,17.37,0,Rejected,48
39,67367,615,Self-Employed,15,26889,48,Mortgage,1%,47%,0,Debt Consolidation,0,29,24,8241,5613.92,52.55,4,99087,17.15,1,Approved,42
52,32418,647,Employed,29,32208,12,Rent,41%,32%,0,Auto,0,26,3,2926,2701.5,77.83,3,313319,15.07,0,Rejected,50
44,26879,649,Employed,21,20313,60,Rent,43%,22%,0,Home,0,22,29,4029,2239.92,75.42,5,71090,19.9,0,Rejected,50
32,54128,620,Employed,11,20676,36,Mortgage,26%,10%,0,Home,0,32,7,4943,4510.67,78.99,1,87804,17.78,1,Approved,37
44,19924,535,Employed,20,21767,48,Mortgage,25%,38%,0,Education,0,32,19,21032,1660.33,81.45,8,14660,29.91,0,Rejected,56
58,90788,672,Employed,34,18243,36,Mortgage,30%,15%,0,Debt Consolidation,0,20,21,1980,7565.67,75.3,6,5911,14.04,1,Approved,34
39,190445,619,Employed,16,28894,36,Mortgage,26%,1%,0,Other,0,24,8,2857,15870.42,96.13,6,115773,21.41,1,Approved,34
58,35372,612,Employed,38,25313,24,Mortgage,29%,40%,0,Education,0,20,26,2811,2947.67,85.72,3,119179,19.7,0,Rejected,50
18,15000,570,Employed,0,50226,48,Mortgage,21%,23%,0,Debt Consolidation,1,16,26,3575,1250,78.36,3,82198,22.84,0,Rejected,58
49,40829,617,Employed,25,25478,36,Mortgage,7%,25%,0,Auto,0,11,14,2267,3402.42,95.19,0,34774,17.93,0,Rejected,49
41,58655,523,Employed,16,26493,96,Mortgage,42%,18%,0,Other,0,24,13,2003,4887.92,85.27,1,22423,33.44,0,Rejected,51
36,68801,531,Employed,14,18652,36,Rent,17%,34%,0,Auto,1,30,16,1810,5733.42,55.44,2,429421,28.58,0,Rejected,53
41,92731,619,Employed,19,31116,48,Rent,12%,22%,0,Home,0,20,3,3025,7727.58,55.37,3,7629,21.54,0,Rejected,50
18,40050,545,Self-Employed,0,112253,48,Rent,31%,18%,0,Home,1,33,2,1506,3337.5,93.7,4,7672,35.85,0,Rejected,64
37,40784,618,Employed,14,41465,72,Own,17%,20%,0,Home,0,26,27,21978,3398.67,83.15,4,172083,29.28,0,Rejected,45
44,15000,588,Employed,23,26563,48,Mortgage,31%,30%,0,Home,0,24,21,1357,1250,88.09,6,474038,20.98,0,Rejected,48
57,86699,615,Employed,39,7469,60,Rent,11%,18%,0,Home,0,18,24,1872,7224.92,91.95,6,8130,19.88,1,Approved,36
33,17676,540,Employed,8,17801,48,Own,15%,36%,0,Debt Consolidation,0,38,21,8380,1473,87.84,5,48674,24.39,0,Rejected,55
30,42752,517,Employed,4,14379,36,Rent,36%,30%,0,Auto,0,18,2,6094,3562.67,81.61,4,146382,23.97,0,Rejected,53
33,29096,570,Employed,12,40138,24,Other,14%,24%,0,Debt Consolidation,0,28,19,1461,2424.67,76.08,4,36237,24.86,0,Rejected,53
50,60992,663,Employed,30,24642,48,Rent,25%,6%,0,Home,0,28,17,4726,5082.67,91.71,4,38852,21.64,0,Rejected,44
43,100032,524,Employed,21,19105,60,Mortgage,11%,23%,1,Education,0,24,29,9197,8336,83.15,6,45588,20.97,1,Approved,50
33,35882,620,Employed,11,9259,48,Own,17%,15%,0,Home,0,23,11,3552,2990.17,88.34,3,8266,20,0,Rejected,47
46,32781,623,Employed,22,17468,60,Other,9%,9%,0,Debt Consolidation,0,23,19,7428,2731.75,66.1,2,294254,23.21,0,Rejected,41
41,51707,585,Employed,18,20069,72,Rent,1%,22%,0,Home,0,25,7,3815,4308.92,83.73,4,2253,26.82,0,Rejected,52
51,31251,596,Unemployed,30,66582,24,Rent,57%,16%,0,Home,1,21,25,2313,2604.25,78.41,5,3276,24.75,0,Rejected,61
31,22359,524,Employed,11,26889,48,Mortgage,22%,46%,0,Auto,0,14,8,24764,1863.25,85.39,4,84640,24.07,0,Rejected,57
36,152650,610,Employed,12,24815,48,Other,10%,38%,0,Home,0,21,25,4346,12720.83,77.26,6,37909,21.35,1,Approved,38
35,15120,562,Self-Employed,11,21849,84,Rent,52%,24%,0,Debt Consolidation,0,24,26,1874,1260,95.11,5,3825,24.42,0,Rejected,58
22,59830,570,Self-Employed,0,22734,24,Rent,43%,57%,0,Debt Consolidation,0,29,9,2511,4985.83,74.85,7,435808,17.46,1,Approved,46
43,55308,645,Employed,22,19539,72,Other,7%,27%,0,Debt Consolidation,0,29,24,5995,4609,96.65,4,93747,16.96,1,Approved,37
43,30948,601,Employed,17,25291,36,Mortgage,5%,36%,0,Auto,0,19,25,7167,2579,74.36,9,78660,22.33,0,Rejected,49
40,56940,592,Employed,21,15752,96,Mortgage,43%,12%,0,Debt Consolidation,0,20,7,1349,4745,79.08,5,64448,26.16,0,Rejected,50
37,44000,539,Employed,13,28714,60,Rent,41%,20%,0,Home,0,10,29,5872,3666.67,94.64,8,301790,24.42,0,Rejected,46
23,81554,509,Employed,4,35101,72,Rent,36%,29%,0,Home,0,23,24,3233,6796.17,82.31,5,69780,31.65,0,Rejected,49
34,26567,612,Employed,13,17339,60,Mortgage,9%,7%,0,Education,0,17,14,2738,2213.92,68.29,4,9625,23.22,0,Rejected,48
35,33569,596,Employed,9,37172,48,Mortgage,26%,3%,0,Home,0,20,8,2103,2797.42,70.68,6,33106,22.46,0,Rejected,52
30,94238,608,Employed,6,15917,36,Own,16%,46%,0,Home,0,23,2,3382,7853.17,60.77,3,41531,18.76,1,Approved,44
38,45145,587,Employed,17,11431,48,Mortgage,13%,30%,0,Education,0,27,24,7060,3762.08,95.81,9,93155,19.61,1,Approved,40
44,70881,597,Employed,23,34590,48,Rent,30%,12%,0,Home,0,22,19,2050,5906.75,78.71,8,1188,21.42,0,Rejected,50
62,105240,656,Employed,39,13937,108,Mortgage,25%,20%,1,Home,0,32,26,1960,8770,96.47,4,33814,22.97,0,Rejected,55
42,63709,517,Unemployed,18,22221,48,Mortgage,28%,47%,0,Auto,0,41,18,3930,5309.08,62.08,3,68037,26.54,0,Rejected,57
43,31713,487,Self-Employed,18,38865,48,Rent,25%,60%,0,Auto,0,20,6,395,2642.75,97.87,3,6605,28.64,0,Rejected,64
39,29900,536,Employed,17,23396,72,Mortgage,10%,19%,0,Debt Consolidation,0,28,4,470,2491.67,93.65,6,2585,29.95,0,Rejected,54
18,87673,608,Employed,0,10667,72,Mortgage,22%,39%,0,Auto,1,23,19,1134,7306.08,73.63,5,66069,24,1,Approved,43
39,55454,565,Self-Employed,16,35551,36,Mortgage,24%,53%,0,Auto,0,22,13,4159,4621.17,97.34,4,5939,25.41,0,Rejected,61
40,40722,558,Employed,18,31637,120,Own,17%,14%,0,Auto,0,22,9,9140,3393.5,80.2,4,121086,30.28,0,Rejected,47
69,76571,680,Employed,49,34173,48,Rent,16%,22%,0,Home,0,20,3,2220,6380.92,95.91,7,72093,19.11,0,Rejected,46
37,22901,525,Employed,14,18493,48,Rent,9%,26%,0,Auto,0,25,6,3120,1908.42,92.47,3,89532,25.34,0,Rejected,53
43,49421,609,Employed,21,17161,72,Other,36%,26%,0,Debt Consolidation,0,21,8,10050,4118.42,85.38,8,9540,25.81,0,Rejected,51
39,43507,611,Employed,16,31845,48,Rent,37%,8%,1,Home,0,32,15,1192,3625.58,72.86,7,6480,26.56,0,Rejected,60
25,41402,572,Employed,4,25900,36,Mortgage,11%,9%,0,Home,0,29,21,9920,3450.17,72.94,6,4623,23.77,0,Rejected,50
53,37405,626,Employed,30,15770,48,Mortgage,23%,30%,0,Debt Consolidation,1,22,19,14266,3117.08,85.39,3,4530,20.61,0,Rejected,56
49,48399,564,Employed,29,19629,48,Rent,28%,21%,0,Home,0,18,19,993,4033.25,88.17,1,75230,26.41,0,Rejected,51
49,44775,574,Employed,28,20270,48,Mortgage,15%,20%,0,Education,0,28,7,3070,3731.25,84.46,5,8511,21.96,0,Rejected,51
29,125711,580,Employed,7,12133,48,Own,46%,21%,0,Home,0,20,20,16833,10475.92,70.67,5,8014,21.81,1,Approved,41
56,15131,634,Employed,30,25599,48,Rent,24%,38%,0,Home,1,25,5,2458,1260.92,77.8,7,58703,22.83,0,Rejected,59
23,73576,603,Employed,0,12055,36,Other,1%,25%,0,Education,0,26,1,1924,6131.33,76.65,5,4647,17.54,1,Approved,42
47,50345,602,Employed,22,18805,48,Mortgage,47%,9%,0,Home,0,24,1,13605,4195.42,57.95,3,47177,23.25,0,Rejected,52
66,56816,669,Employed,41,20719,12,Mortgage,32%,8%,0,Auto,0,28,27,8124,4734.67,70.63,6,621711,13.94,1,Approved,29
28,34588,621,Employed,0,18962,48,Mortgage,22%,28%,0,Debt Consolidation,0,36,1,8955,2882.33,66.48,3,78693,24.09,0,Rejected,52
33,55383,565,Employed,10,9093,48,Own,31%,9%,0,Auto,0,18,21,6607,4615.25,63.77,2,7531,23.3,1,Approved,40
41,65180,551,Employed,16,15086,72,Mortgage,26%,19%,0,Debt Consolidation,0,24,26,562,5431.67,57.61,7,3079,23.26,1,Approved,40
33,15000,523,Employed,8,13879,60,Rent,26%,37%,0,Auto,0,29,13,12973,1250,77.86,2,21596,26.91,0,Rejected,56
21,149736,560,Employed,0,27917,48,Own,31%,36%,0,Auto,0,27,9,3003,12478,82.78,6,279531,20.83,1,Approved,38
40,42717,585,Employed,14,41561,24,Other,38%,25%,0,Home,0,21,24,489,3559.75,65.85,3,37949,21.4,0,Rejected,53
27,66417,590,Employed,5,9493,48,Mortgage,64%,19%,0,Home,0,27,17,2012,5534.75,75.89,9,87273,19.2,1,Approved,40
45,22121,602,Employed,23,18805,60,Other,22%,6%,0,Home,0,32,12,667,1843.42,98.67,2,56022,23.8,0,Rejected,47
28,37558,620,Employed,5,18686,60,Rent,12%,22%,0,Education,0,24,24,4575,3129.83,85.32,10,2660,22.77,0,Rejected,49
58,134691,621,Employed,36,16421,24,Rent,19%,17%,0,Home,1,28,27,1619,11224.25,88.43,4,20839,19.81,1,Approved,40
30,33101,539,Employed,7,29824,60,Rent,18%,16%,0,Education,0,17,19,2548,2758.42,91.14,0,211332,23.9,0,Rejected,46
36,44364,439,Employed,10,5538,36,Mortgage,33%,30%,0,Other,0,26,12,2471,3697,86.81,7,195449,25.62,1,Approved,41
49,38596,499,Employed,27,13078,36,Other,15%,39%,0,Debt Consolidation,1,24,23,1121,3216.33,80.31,6,4304,25.59,0,Rejected,60
25,139954,439,Unemployed,3,40858,48,Rent,17%,45%,0,Auto,0,28,22,427,11662.83,58.88,2,45696,31.24,0,Rejected,56
42,53444,521,Unemployed,19,16462,60,Other,37%,24%,0,Auto,0,24,12,4608,4453.67,58.09,7,11955,28.81,0,Rejected,55
55,113523,643,Employed,33,10990,60,Own,31%,22%,0,Auto,0,25,18,4279,9460.25,86.54,4,112469,20.39,1,Approved,35
20,31270,581,Employed,1,6624,12,Mortgage,46%,9%,0,Other,1,27,20,2857,2605.83,78.02,6,47138,17.33,0,Rejected,58
42,46717,520,Employed,21,20915,60,Other,39%,44%,0,Auto,0,25,20,1085,3893.08,98.89,1,3094,24.57,0,Rejected,57
43,56613,564,Employed,19,25148,36,Mortgage,51%,44%,0,Home,0,20,3,4138,4717.75,50.05,8,179210,24.13,0,Rejected,56
49,86882,612,Employed,24,51374,72,Rent,12%,23%,0,Home,0,35,19,10374,7240.17,54.71,8,4755,27.78,0,Rejected,47
25,69876,598,Employed,5,17992,96,Rent,1%,26%,0,Debt Consolidation,0,31,15,915,5823,80.42,5,12570,27.23,0,Rejected,51
24,32582,513,Self-Employed,4,26598,60,Rent,46%,15%,0,Debt Consolidation,0,24,21,288,2715.17,85.19,4,21485,27.27,0,Rejected,55
46,101562,612,Employed,23,30836,84,Mortgage,61%,19%,0,Education,1,26,14,7528,8463.5,77.34,5,26110,23.67,0,Rejected,54
43,24611,548,Unemployed,25,21110,24,Other,58%,22%,0,Education,0,30,18,10586,2050.92,75.66,5,169077,24.73,0,Rejected,54
43,22390,594,Employed,21,17603,120,Own,16%,40%,0,Auto,0,19,23,612,1865.83,91.82,3,8633,29.3,0,Rejected,55
44,47430,605,Employed,25,32684,60,Mortgage,64%,19%,0,Debt Consolidation,0,31,17,673,3952.5,71.62,5,25415,23.24,0,Rejected,50
31,57105,500,Employed,6,24760,36,Rent,12%,33%,0,Home,0,15,20,2593,4758.75,71.31,6,1632,26.81,0,Rejected,53
42,28751,536,Employed,21,30150,60,Own,41%,34%,0,Debt Consolidation,0,19,5,8298,2395.92,85,7,13656,25.89,0,Rejected,59
43,43567,547,Employed,17,17390,24,Mortgage,14%,27%,0,Debt Consolidation,0,28,10,12906,3630.58,76.53,3,119722,23.8,0,Rejected,48
31,20113,575,Employed,6,27214,36,Own,22%,45%,0,Other,0,20,2,4698,1676.08,80.5,1,52656,22.68,0,Rejected,60
62,52633,682,Unemployed,41,13197,120,Own,22%,18%,1,Auto,0,22,27,4853,4386.08,73.23,9,6415,22.46,0,Rejected,59
45,93617,557,Employed,25,10868,84,Own,19%,47%,0,Home,0,18,17,3489,7801.42,80.25,8,25397,24.69,1,Approved,43
25,34276,574,Employed,3,5163,96,Rent,31%,20%,0,Debt Consolidation,0,27,26,3141,2856.33,64.33,6,32248,25.17,0,Rejected,51
47,25819,587,Self-Employed,25,12824,36,Rent,63%,20%,0,Debt Consolidation,0,30,5,1622,2151.58,73.12,6,49734,18.22,0,Rejected,61
28,72220,546,Employed,5,11336,36,Mortgage,7%,9%,0,Debt Consolidation,0,27,28,1517,6018.33,85.87,9,103795,21.24,1,Approved,36
49,30032,594,Employed,28,5789,24,Mortgage,31%,60%,0,Debt Consolidation,0,32,1,1632,2502.67,91.61,7,67597,19.51,0,Rejected,61
53,259639,545,Employed,29,39203,12,Rent,44%,22%,0,Debt Consolidation,0,26,18,21809,21636.58,62.94,3,2180,20.83,1,Approved,41
30,58238,628,Self-Employed,7,15647,48,Mortgage,33%,18%,1,Debt Consolidation,0,31,5,8060,4853.17,65.2,4,43114,19.68,0,Rejected,64
51,91953,618,Employed,29,21715,48,Rent,28%,51%,0,Debt Consolidation,0,30,4,2879,7662.75,85.66,10,16980,19.1,1,Approved,46
44,22237,609,Employed,23,33644,60,Rent,8%,47%,0,Home,0,28,21,1967,1853.08,74.76,3,40922,22.63,0,Rejected,54
49,74085,653,Employed,27,36208,12,Other,26%,56%,0,Debt Consolidation,0,32,28,2043,6173.75,84.08,6,7553,17.11,0,Rejected,52
62,33370,633,Employed,41,18943,24,Rent,52%,31%,0,Home,0,24,9,966,2780.83,83.64,5,10973,18.54,0,Rejected,54
37,36562,553,Employed,14,38934,48,Own,27%,37%,0,Home,1,26,11,636,3046.83,49.21,4,2603208,22.18,1,Approved,42
30,25658,583,Employed,7,6423,36,Own,19%,7%,0,Other,0,20,6,2411,2138.17,62.82,5,57777,19.75,0,Rejected,51
29,75095,590,Employed,6,11657,120,Rent,45%,58%,0,Auto,1,15,9,1570,6257.92,89.59,7,41471,32.6,0,Rejected,66
30,50657,591,Employed,4,20536,48,Mortgage,31%,6%,0,Auto,0,27,14,20114,4221.42,69.62,11,107416,19.59,0,Rejected,46
39,48707,582,Employed,17,9741,36,Other,5%,25%,0,Home,0,30,17,2817,4058.92,81.52,13,69075,24.45,0,Rejected,50
44,99138,524,Employed,19,23007,48,Rent,25%,25%,0,Auto,0,25,24,2596,8261.5,75.71,6,1156,24.43,1,Approved,41
43,48280,581,Employed,20,40424,36,Rent,25%,24%,0,Home,0,28,12,3207,4023.33,72.12,2,84027,19.03,0,Rejected,51
49,88064,568,Employed,27,24156,120,Other,42%,11%,0,Other,0,28,17,7110,7338.67,71.83,4,135833,25.99,1,Approved,37
40,177855,625,Employed,18,17289,60,Mortgage,4%,44%,0,Education,0,24,26,3966,14821.25,43.76,5,95498,23.17,1,Approved,38
57,55440,614,Employed,35,31937,12,Own,15%,33%,0,Auto,0,25,14,958,4620,91.96,4,21118,18.55,0,Rejected,50
36,44377,558,Employed,13,11938,36,Rent,49%,17%,0,Debt Consolidation,0,23,19,2782,3698.08,84.48,2,52424,21.04,1,Approved,40
72,115677,511,Employed,51,27962,24,Own,11%,48%,0,Debt Consolidation,0,26,6,1314,9639.75,62.13,5,53022,28.18,0,Rejected,54
47,163133,654,Employed,27,13145,36,Mortgage,12%,11%,0,Education,0,27,6,687,13594.42,86.41,8,61994,19.61,1,Approved,33
29,51989,517,Employed,5,26850,72,Mortgage,17%,49%,0,Auto,0,22,3,1462,4332.42,83.75,6,44452,30.83,0,Rejected,58
27,28941,612,Employed,3,15007,60,Mortgage,13%,53%,0,Education,0,23,8,1934,2411.75,72,6,44144,18.81,0,Rejected,57
45,117455,652,Unemployed,21,19372,48,Own,24%,68%,0,Auto,1,26,6,3583,9787.92,74.02,3,279360,18.58,1,Approved,45
37,68157,565,Employed,14,15091,36,Mortgage,22%,9%,0,Education,0,28,27,4080,5679.75,74.84,3,3047,23.15,1,Approved,40
48,117456,579,Employed,24,17310,36,Mortgage,24%,12%,0,Home,0,18,24,1689,9788,79.82,5,11421,21.89,1,Approved,39
45,84230,579,Employed,21,61376,72,Rent,31%,9%,0,Home,1,34,7,922,7019.17,89.48,3,14999,29.4,0,Rejected,56
39,47910,515,Employed,15,25068,24,Mortgage,12%,2%,0,Education,0,17,10,3131,3992.5,83.06,2,57154,23.92,0,Rejected,48
29,37709,557,Employed,8,27440,60,Own,48%,46%,0,Debt Consolidation,1,25,9,1785,3142.42,73.98,5,4672,30.47,0,Rejected,65
21,73625,540,Employed,1,12927,24,Mortgage,12%,19%,1,Home,0,21,8,1176,6135.42,92.27,7,138741,20.86,0,Rejected,58
34,19757,592,Employed,12,17292,120,Rent,38%,18%,0,Education,0,28,9,3053,1646.42,85.01,5,2757,25.47,0,Rejected,53
50,111020,498,Employed,28,23552,12,Rent,24%,45%,0,Other,0,23,24,2429,9251.67,92.91,2,30012,24.26,1,Approved,44
